Time,Demand_s1,GasBase_s1,GasOption_s1,GasPeak_s1,SolarPower_s1,SpotMarket_s1,WindPower_s1,Demand_s2,GasBase_s2,GasOption_s2,GasPeak_s2,SolarPower_s2,SpotMarket_s2,WindPower_s2,Demand_s3,GasBase_s3,GasOption_s3,GasPeak_s3,SolarPower_s3,SpotMarket_s3,WindPower_s3,Demand_s4,GasBase_s4,GasOption_s4,GasPeak_s4,SolarPower_s4,SpotMarket_s4,WindPower_s4,Demand_s5,GasBase_s5,GasOption_s5,GasPeak_s5,SolarPower_s5,SpotMarket_s5,WindPower_s5
2021-01-01 06:00:00,7.92576,9.999999999951612,2.828370317926855e-11,0.0,0.0,-2.0742399999803753,0.0,7.9516800000000005,9.999999999951612,5.415875508673056e-11,0.0,0.0,-2.0483200000072705,8.797155718770719e-13,8.0208,9.999999999951612,-6.870029002199498e-13,0.0,0.0,-1.9791999999469538,0.0,8.07264,9.999999999951612,2.1105970956272528e-11,0.0,0.0,-1.9273599999746631,1.479521643611439e-12,8.07264,9.999999999951612,2.4968713216652456e-12,0.0,0.0,-1.9273599999560502,1.63946992940727e-12
2021-01-01 06:15:00,8.04672,9.999999999951612,1.437124894351714e-11,0.0,0.0,-1.9532799999664359,0.0,8.11296,9.999999999951612,5.474114117373726e-11,0.0,0.0,-1.8870400000077197,6.797802146322829e-13,8.18496,9.999999999951612,8.210585634591955e-12,0.0,0.0,-1.8150399999602451,0.0,8.16768,9.999999999951612,3.496028793655608e-11,0.0,0.0,-1.8323199999886206,1.5594957865093546e-12,8.16768,9.999999999951612,3.5029478427394894e-11,0.0,0.0,-1.83231999998885,1.7194440723051858e-12
2021-01-01 06:30:00,8.11584,9.999999999951612,1.8487847952451556e-11,0.0,0.0,-1.8841599999705603,0.0,8.20224,9.999999999951612,5.4075180567100144e-11,0.0,0.0,-1.7977600000071938,6.797802146322829e-13,8.34048,9.999999999951612,-8.088293784250347e-13,0.0,0.0,-1.6595199999495778,0.0,8.26848,9.999999999951612,4.650144049370763e-11,0.0,0.0,-1.7315200000002404,1.5994828579583125e-12,8.30592,9.999999999951612,5.192933966024406e-11,0.0,0.0,-1.6940800000059915,1.879392358101017e-12
2021-01-01 06:45:00,8.236799999999999,9.999999999951612,8.130162813642705e-12,0.0,0.0,-1.7631999999601653,0.0,8.28864,9.999999999951612,5.436441079949118e-11,0.0,0.0,-1.7113600000077376,9.996767862239453e-13,8.43552,9.999999999951612,1.125329113682921e-11,0.0,0.0,-1.564479999963306,0.0,8.37504,9.999999999951612,4.631028614709201e-11,0.0,0.0,-1.624960000000129,1.679457000856228e-12,8.39232,9.999999999951612,4.660212155496107e-12,0.0,0.0,-1.6076799999585256,1.879392358101017e-12
2021-01-01 07:00:00,8.34048,9.999999999951612,-8.171203814101099e-13,0.0,0.0,-1.6595199999493044,0.0,8.418239999999999,9.999999999951612,5.3186370083113244e-11,0.0,0.0,-1.581760000006351,9.596897147749874e-13,8.56512,9.999999999951612,5.3081903218238046e-11,0.0,0.0,-1.434880000005282,0.0,8.53056,9.999999999951612,5.23914768334086e-11,0.0,0.0,-1.4694400000063026,1.7194440723051858e-12,8.496,9.999999999951612,4.242736645134007e-11,0.0,0.0,-1.503999999996428,1.879392358101017e-12
2021-01-01 07:15:00,8.4528,9.999999999951612,4.005717649053307e-13,0.0,0.0,-1.5471999999520916,0.0,8.50464,9.999999999951612,5.4736490033939834e-11,0.0,0.0,-1.495360000007858,8.39728500428114e-13,8.69472,9.999999999951612,4.4363763492195965e-11,0.0,0.0,-1.3052799999964908,0.0,8.64288,9.999999999951612,5.406138704441553e-11,0.0,0.0,-1.357120000008288,1.7194440723051858e-12,8.64288,9.999999999951612,5.4670718345741034e-11,0.0,0.0,-1.3571200000089505,1.959366500998933e-12
2021-01-01 07:30:00,8.570879999999999,9.999999999951612,1.4389665252382483e-12,0.0,0.0,-1.4291199999532793,0.0,8.591040000000001,9.999999999951612,5.472978087587113e-11,0.0,0.0,-1.4089600000078062,7.997414289791563e-13,8.735040000000001,9.999999999951612,4.7093621654627485e-11,0.0,0.0,-1.2649599999992358,0.0,8.73792,9.999999999951612,5.420431874217363e-11,0.0,0.0,-1.262080000008474,1.7194440723051858e-12,8.6688,9.999999999951612,5.489797424700149e-11,0.0,0.0,-1.3312000000098618,2.0793277153458063e-12
2021-01-01 07:45:00,8.70336,9.999999999951612,-3.893400760477983e-13,0.0,0.0,-1.296639999950987,0.0,8.729280000000001,9.999999999951612,5.4672291108297046e-11,0.0,0.0,-1.270720000007696,7.597543575301984e-13,8.80704,9.999999999951612,4.257711300297393e-11,0.0,0.0,-1.1929599999946994,0.0,8.87616,9.999999999951612,5.407698185496875e-11,0.0,0.0,-1.123840000008155,1.63946992940727e-12,8.77248,9.999999999951612,5.469377235063478e-11,0.0,0.0,-1.2275200000094633,2.119314786794764e-12
2021-01-01 08:00:00,8.80704,9.999999999951612,-1.2284994729220195e-13,0.0,0.02,-1.212959999879126,0.0,8.85024,9.999999999951612,4.8224611535523955e-11,0.0,0.0,-1.1497599999983716,7.997414289791563e-13,8.919360000000001,9.999999999951612,5.473221870659672e-11,0.0,0.01,-1.0906400000042051,0.0,9.00576,9.999999999951612,4.929823729499361e-11,0.0,0.0,-0.9942400000001715,1.5195087150603967e-12,8.89344,9.999999999951612,5.2930923439552786e-11,0.0,0.0,-1.106560000004566,2.2392760011416375e-12
2021-01-01 08:15:00,8.89344,9.999999999951612,-1.0833798911054603e-13,0.0,0.07,-1.176559999431331,0.0,8.96256,9.999999999951612,2.8593157939583567e-11,0.0,0.07,-1.107439999978639,7.597543575301984e-13,9.074879999999999,9.999999999951612,4.996354544806597e-11,0.0,0.1,-1.0251199999993243,0.0,9.144,9.999999999951612,4.941303888513338e-11,0.0,0.02,-0.8760000000001688,1.3995475007135232e-12,9.04896,9.999999999951612,5.47256255928576e-11,0.0,0.05,-1.001040000006428,2.19928892969268e-12
2021-01-01 08:30:00,9.0144,9.999999999951612,-1.072717634068658e-13,0.0,0.1,-1.0855999998362567,0.0,9.115200000000002,9.999999999951612,5.290254377093049e-11,0.0,0.16,-1.0448000000029352,6.39793143183325e-13,9.2304,9.999999999951612,4.2725550578832675e-11,0.0,0.16,-0.9295999999920472,0.0,9.1872,9.999999999951612,4.9637910208225534e-11,0.0,0.13,-0.9428000000004343,1.4395345721624811e-12,9.2448,9.999999999951612,5.4655008395600016e-11,0.0,0.15,-0.9052000000062137,2.0393406438968482e-12
2021-01-01 08:45:00,9.1008,9.999999999951612,-1.0282784563095326e-13,0.0,0.04,-0.9391999997824086,0.0,9.19584,9.999999999951612,4.575919033738519e-11,0.0,0.21,-1.0141599999956097,5.198319288364516e-13,9.299520000000001,9.999999999951612,5.1872495531652125e-11,0.0,0.22,-0.9204800000012531,0.0,9.38592,9.999999999951612,4.97752816094392e-11,0.0,0.18,-0.7940800000005722,1.4395345721624811e-12,9.36864,9.999999999951612,5.474097510680121e-11,0.0,0.19,-0.8213600000059411,1.7194440723051858e-12
2021-01-01 09:00:00,9.1872,9.999999999951612,-1.2661865828996696e-13,0.0,0.19,-1.0027999998840353,0.0,9.26784,9.999999999951612,2.2064756287971396e-11,0.0,0.27,-1.0021599999718231,4.798448573874937e-13,9.41184,9.999999999951612,4.7201402283965195e-11,0.0,0.27,-0.8581599999965414,0.0,9.55872,9.999999999951612,4.966557911241641e-11,0.0,0.23,-0.6712800000003816,1.3595604292645658e-12,9.46368,9.999999999951612,5.4032555175057e-11,0.0,0.24,-0.7763200000052679,1.5594957865093546e-12
2021-01-01 09:15:00,9.264959999999999,9.999999999951612,1.7812386222334657e-11,0.0,0.13,-0.8650399999670844,0.0,9.36864,9.999999999951612,5.177609902129184e-11,0.0,0.32,-0.9513600000016381,4.798448573874937e-13,9.52416,9.999999999951612,4.8914086646965276e-11,0.0,0.32,-0.795839999998266,0.0,9.679680000000001,9.999999999951612,4.9298237830628887e-11,0.0,0.27,-0.5903200000000101,1.3595604292645658e-12,9.54144,9.999999999951612,3.6050237827448195e-11,0.0,0.3,-0.7585599999865532,1.1996121434687344e-12
2021-01-01 09:30:00,9.34272,9.999999999951612,-6.308576749846094e-13,0.0,0.11,-0.767279999947674,0.0,9.45504,9.999999999951612,4.3821113997359136e-11,0.0,0.37,-0.9149599999936243,4.798448573874937e-13,9.552959999999999,9.999999999951612,4.8224612259019475e-11,0.0,0.36,-0.8070399999975729,0.0,9.71136,9.999999999951612,4.949810235399648e-11,0.0,0.31,-0.5986400000003717,1.5195087150603967e-12,9.576,9.999999999951612,5.4566932737804146e-11,0.0,0.32,-0.744000000005099,1.0796509291218609e-12
