Time,Demand_s1,GasBase_s1,GasOption_s1,GasPeak_s1,SolarPower_s1,SpotMarket_s1,WindPower_s1,Demand_s2,GasBase_s2,GasOption_s2,GasPeak_s2,SolarPower_s2,SpotMarket_s2,WindPower_s2,Demand_s3,GasBase_s3,GasOption_s3,GasPeak_s3,SolarPower_s3,SpotMarket_s3,WindPower_s3,Demand_s4,GasBase_s4,GasOption_s4,GasPeak_s4,SolarPower_s4,SpotMarket_s4,WindPower_s4,Demand_s5,GasBase_s5,GasOption_s5,GasPeak_s5,SolarPower_s5,SpotMarket_s5,WindPower_s5
2021-01-01 04:15:00,7.14816,9.999999999976113,1.1957613288574093e-11,0.0,0.0,-2.6178315471420612,0.0,7.23456,9.999999999976113,1.2766319451637053e-11,0.0,0.0,-2.441859555452104,0.0,7.29504,9.999999999976113,2.2514725070413167e-11,0.0,0.0,-2.704960000000144,0.0,7.31232,9.999999999976113,1.2653839793852503e-11,0.0,0.0,-2.5742821084259897,0.0,7.32096,9.999999999976113,1.1888507483934761e-11,0.0,0.0,-2.267378675392673,0.0
2021-01-01 04:30:00,7.182720000000001,9.999999999976113,1.1957613306483507e-11,0.0,0.0,-2.583271561720112,0.0,7.2518400000000005,9.999999999976113,1.2753949614835232e-11,0.0,0.0,-2.424573124807548,0.0,7.32096,9.999999999976113,3.036536337681503e-13,0.0,0.0,-2.6790399999778045,0.0,7.36416,9.999999999976113,1.254350727670994e-11,0.0,0.0,-2.519345350102385,0.0,7.35552,9.999999999976113,1.181547227464489e-11,0.0,0.0,-2.202771802447589,0.0
2021-01-01 04:45:00,7.21728,9.999999999976113,1.2662008427634657e-11,0.0,0.0,-2.6262703032697425,0.0,7.29504,9.999999999976113,1.2643059452568649e-11,0.0,0.0,-2.3813971060939743,0.0,7.38432,9.999999999976113,5.249720624722138e-13,0.0,0.0,-2.6156799999780387,0.0,7.43328,9.999999999976113,1.1970987290676996e-11,0.0,0.0,-2.4276228110309885,0.0,7.416,9.999999999976113,1.211067546665362e-11,0.0,0.0,-2.2371804123785344,0.0
2021-01-01 05:00:00,7.3296,9.999999999976113,1.2680353894645585e-11,0.0,0.0,-2.514826479965987,0.0,7.46784,9.999999999976113,1.276219644294079e-11,0.0,0.0,-2.208577435897837,0.0,7.52832,9.999999999976113,-1.3252200047913832e-12,0.0,0.0,-2.4716799999725554,0.0,7.55424,9.999999999976113,1.1376878400710805e-11,0.0,0.0,-2.247632193405735,0.0,7.55424,9.999999999976113,1.215244225750107e-11,0.0,0.0,-2.1071799199023293,0.0
2021-01-01 05:15:00,7.45056,9.999999999976113,1.2738260060017965e-11,0.0,0.0,-2.3965483486270904,0.0,7.5888,9.999999999976113,1.288219303107674e-11,0.0,0.0,-2.0877644534192528,0.0,7.69824,9.999999999976113,-1.2924954506114292e-12,0.0,0.0,-2.3017599999742835,0.0,7.64064,9.999999999976113,1.2377495756436963e-11,0.0,0.0,-2.237376495996453,0.0,7.64928,9.999999999976113,1.2388427659311505e-11,0.0,0.0,-2.0474998929875863,0.0
2021-01-01 05:30:00,7.59744,9.999999999976113,1.2737528021676758e-11,0.0,0.0,-2.249635239263247,0.0,7.68384,9.999999999976113,1.2862962708244012e-11,0.0,0.0,-1.9926903182665232,0.0,7.73568,9.999999999976113,-1.2526934399819194e-12,0.0,0.0,-2.264319999975068,0.0,7.75296,9.999999999976113,1.2383066099504234e-11,0.0,0.0,-2.1252513401852644,0.0,7.75296,9.999999999976113,1.2503517412774616e-11,0.0,0.0,-1.956554026711271,0.0
2021-01-01 05:45:00,7.7011199999999995,9.999999999976113,1.2725810165279355e-11,0.0,0.0,-2.1454221391027817,0.0,7.787520000000001,9.999999999976113,1.2874867614096037e-11,0.0,0.0,-1.8890311442922063,0.0,7.83072,9.999999999976113,-1.2513248545606732e-12,0.0,0.0,-2.1692799999750845,0.0,7.865279999999999,9.999999999976113,1.2607751217764707e-11,0.0,0.0,-2.020189854831187,0.0,7.848,9.999999999976113,1.2516929631091508e-11,0.0,0.0,-1.8628646742038932,0.0
2021-01-01 06:00:00,7.92576,9.999999999976113,1.262163088362525e-11,0.0,0.0,-1.9158140398539603,0.0,7.9516800000000005,9.999999999976113,1.2930257368105107e-11,0.0,0.0,-1.7249874010305488,0.0,8.0208,9.999999999976113,-1.0218246747951985e-12,0.0,0.0,-1.9791999999761072,0.0,8.07264,9.999999999976113,1.250161930702381e-11,0.0,0.0,-1.809539136537666,0.0,8.07264,9.999999999976113,1.2332588590347356e-11,0.0,0.0,-1.6170905031387794,0.0
2021-01-01 06:15:00,8.04672,9.999999999976113,1.2477839261171528e-11,0.0,0.0,-1.7846135378955335,0.0,8.11296,9.999999999976113,1.3037297239775383e-11,0.0,0.0,-1.5640188370915573,0.0,8.18496,9.999999999976113,1.4194857179028214e-12,0.0,0.0,-1.8150399999789586,0.0,8.16768,9.999999999976113,1.2758549001264055e-11,0.0,0.0,-1.72137353235342,0.0,8.16768,9.999999999976113,1.2669510551971028e-11,0.0,0.0,-1.5533133690320378,0.0
2021-01-01 06:30:00,8.11584,9.999999999976113,1.2525471423902347e-11,0.0,0.0,-1.719155457459913,0.0,8.20224,9.999999999976113,1.3278743327700505e-11,0.0,0.0,-1.4758007387390943,0.0,8.34048,9.999999999976113,-7.690167850270088e-13,0.0,0.0,-1.6595199999765495,0.0,8.26848,9.999999999976113,1.3060455694193612e-11,0.0,0.0,-1.6269634588854838,0.0,8.30592,9.999999999976113,1.2899663674971888e-11,0.0,0.0,-1.4201027691655932,0.0
